judul,hyperlink,img_hyperlinks
*BALIKPAPAN RUMAH CANTIK DALAM CLUSTER DITENGAH KOTA SIAP HUNI ( LKO 02),https://www.rumah123.com//properti/balikpapan/hos15799402/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1309567/2023-12-15-15-36-03-c0fcc9f1-e25b-407a-a453-ed26cf6b4cb3.jpg
BALIKPAPAN RUMAH DALAM CLUSTER BDI TENGAH KOTA ( LKO 01),https://www.rumah123.com//properti/balikpapan/hos15799329/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1309567/2023-12-15-15-19-37-36d462df-303b-465e-b9fd-d7e53bb8a560.jpg
"BALIKPAPAN, RUMAH STRATEGIS DAN NYAMAN DI RUHUI RAHAYU",https://www.rumah123.com//properti/balikpapan/hos15735084/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15735084/original/hos15735084-rumah-di-jual-di-balikpapan-selatan-balikpapan-1702079864.jpg
CEPAT RUMAH CANTIK SEMI FURNISHED,https://www.rumah123.com//properti/balikpapan/hos15729048/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15729048/original/hos15729048-rumah-di-jual-di-balikpapan-utara-balikpapan-1702018779.jpg
Balikpapan Perumahan Griya Permata Asri,https://www.rumah123.com//properti/balikpapan/hos15714512/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15714512/original/hos15714512-rumah-di-jual-di-balikpapan-selatan-balikpapan-1701997040.jpg
RUMAH BALIKPAPAN GUNUNG GUNTUR,https://www.rumah123.com//properti/balikpapan/hos15714389/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15714389/original/hos15714389-rumah-di-jual-di-balikpapan-tengah-balikpapan-1701994592.jpg
Hunian Serba Baru dan Modern Di Dalam Perumahan,https://www.rumah123.com//properti/balikpapan/hos15714372/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15714372/original/hos15714372-rumah-di-jual-di-balikpapan-utara-balikpapan-1701994209.jpg
Hunian Murah Di perumahan Wika Balikpapan,https://www.rumah123.com//properti/balikpapan/hos15714363/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15714363/original/hos15714363-rumah-di-jual-di-balikpapan-utara-balikpapan-1701994062.jpg
Hunian unik ditengah kota balikpapan.   ,https://www.rumah123.com//properti/balikpapan/hos15714357/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15714357/original/hos15714357-rumah-di-jual-di-gn.-samarinda-balikpapan-1701993962.jpg
Hunian Cantik dekat SMAN 4 Balikpapan.  ,https://www.rumah123.com//properti/balikpapan/hos15714351/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15714351/original/hos15714351-rumah-di-jual-di-sepinggan-balikpapan-1701993864.jpg
Hunian murah Di  daerah Gunung Guntur ditengah kota ,https://www.rumah123.com//properti/balikpapan/hos15714345/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15714345/original/hos15714345-rumah-di-jual-di-sumber-rejo-balikpapan-1701993794.jpg
Rumah kos tengah kota balikpapan ,https://www.rumah123.com//properti/balikpapan/hos15644998/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1929388/2023-12-01-07-51-16-8b334f55-016b-4b47-97ff-647c8fcd6362.jpg
"BALIKPAPAN RUMAH BESAR STRATEGIS DEKAT BANDARA , PASAR DAN SEKOLAH ",https://www.rumah123.com//properti/balikpapan/hos15578319/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1772617/2023-11-24-12-18-45-0c17f1bf-f32c-4fc5-9d4e-3ff75765ecd6.jpg
turun harga!!! Balikpapan Di  rumah Ciputra Citra Bukit Indah BDI Balikpapan dibawah harga pasaran,https://www.rumah123.com//properti/balikpapan/hos15578037/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15578037/original/hos15578037-rumah-di-jual-di-balikpapan-selatan-balikpapan-1700825451.jpg
RUMAH SATU LANTAI DI KAWASAN PERUMAHAN WIKA,https://www.rumah123.com//properti/balikpapan/hos15577288/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15577288/original/hos15577288-rumah-di-jual-di-balikpapan-utara-balikpapan-1700819061.jpg
"RUMAH SIAP HUNI DI TAMAN SARI BUKIT MUTIARA, WIKA BALIKPAPAN",https://www.rumah123.com//properti/balikpapan/hos15573817/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15573817/original/hos15573817-rumah-di-jual-di-balikpapan-utara-balikpapan-1700806187.jpg
