Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik
1900.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,250,216,SHM - Sertifikat Hak Milik,3500
650.0,"Balikpapan Tengah, Balikpapan",3.0,2.0,200,120,SHM - Sertifikat Hak Milik,1300
675.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,100,85,SHM - Sertifikat Hak Milik,1300
1720.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,72,74,HGB - Hak Guna Bangunan,2200
2300.0,"Balikpapan Utara, Balikpapan",3.0,3.0,140,88,SHM - Sertifikat Hak Milik,1300
2250.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,105,92,HGB - Hak Guna Bangunan,3500
2000.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,165,250,SHM - Sertifikat Hak Milik,2200
2000.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,165,250,SHM - Sertifikat Hak Milik,2200
2500.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,180,180,SHM - Sertifikat Hak Milik,3500
2500.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,180,180,SHM - Sertifikat Hak Milik,3500
950.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,150,150,SHM - Sertifikat Hak Milik,1300
600.0,"Balikpapan Utara, Balikpapan",2.0,1.0,120,48,HGB - Hak Guna Bangunan,2200
730.0,"Sepinggan, Balikpapan",3.0,1.0,160,120,SHM - Sertifikat Hak Milik,1300
2160.0,"Balikpapan Utara, Balikpapan",3.0,2.0,117,120,SHM - Sertifikat Hak Milik,2200
1760.0,"Balikpapan Utara, Balikpapan",3.0,2.0,88,105,SHM - Sertifikat Hak Milik,2200
3260.0,"Balikpapan Utara, Balikpapan",4.0,3.0,200,172,SHM - Sertifikat Hak Milik,2200
3720.0,"Balikpapan Baru, Balikpapan",6.0,3.0,389,100,SHM - Sertifikat Hak Milik,2200
2500.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,221,150,SHM - Sertifikat Hak Milik,3500
1300.0,"Manggar, Balikpapan",4.0,2.0,147,147,SHM - Sertifikat Hak Milik,1300
600.0,"Batakan, Balikpapan",2.0,1.0,120,55,SHM - Sertifikat Hak Milik,1300
1100.0,"Batakan, Balikpapan",4.0,3.0,72,54,SHM - Sertifikat Hak Milik,2200
2000.0,"Balikpapan Kota, Balikpapan",4.0,4.0,283,263,SHM - Sertifikat Hak Milik,2200
2500.0,"Balikpapan Selatan, Balikpapan",5.0,3.0,150,295,SHM - Sertifikat Hak Milik,2200
12000.0,"Gunung Bahagia, Balikpapan",6.0,5.0,1270,1270,SHM - Sertifikat Hak Milik,6600
1900.0,"Balikpapan Selatan, Balikpapan",2.0,2.0,121,105,SHM - Sertifikat Hak Milik,4400
850.0,"Balikpapan Tengah, Balikpapan",2.0,2.0,60,100,SHM - Sertifikat Hak Milik,2200
900.0,"Batakan, Balikpapan",4.0,3.0,120,180,SHM - Sertifikat Hak Milik,2200
800.0,"Balikpapan Utara, Balikpapan",3.0,2.0,149,205,SHM - Sertifikat Hak Milik,2200
895.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,98,60,SHM - Sertifikat Hak Milik,1300
5000.0,"Balikpapan Selatan, Balikpapan",4.0,4.0,360,360,SHM - Sertifikat Hak Milik,4400
425.0,"Balikpapan Utara, Balikpapan",2.0,1.0,120,45,SHM - Sertifikat Hak Milik,1300
3750.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,447,600,SHM - Sertifikat Hak Milik,4400
2150.0,"Balikpapan Utara, Balikpapan",3.0,2.0,160,100,SHM - Sertifikat Hak Milik,2200
600.0,"Balikpapan Timur, Balikpapan",3.0,2.0,268,90,SHM - Sertifikat Hak Milik,900
1350.0,"Batakan, Balikpapan",5.0,3.0,285,140,SHM - Sertifikat Hak Milik,1300
850.0,"Balikpapan Utara, Balikpapan",2.0,2.0,72,46,"Lainnya (PPJB,Girik,Adat,dll)",5500
2650.0,"Balikpapan Baru, Balikpapan",5.0,7.0,200,298,SHM - Sertifikat Hak Milik,5500
1600.0,"Balikpapan Baru, Balikpapan",3.0,3.0,216,98,HGB - Hak Guna Bangunan,2200
6000.0,"Balikpapan Kota, Balikpapan",4.0,3.0,343,875,SHM - Sertifikat Hak Milik,3500
6000.0,"Balikpapan Selatan, Balikpapan",7.0,5.0,454,476,HGB - Hak Guna Bangunan,5500
9000.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,670,400,SHM - Sertifikat Hak Milik,13200
6800.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,450,275,SHM - Sertifikat Hak Milik,2200
4800.0,"Balikpapan Selatan, Balikpapan",5.0,4.0,395,250,HGB - Hak Guna Bangunan,3500
2000.0,"Balikpapan Utara, Balikpapan",4.0,2.0,200,200,SHM - Sertifikat Hak Milik,2200
650.0,"Balikpapan Timur, Balikpapan",3.0,1.0,90,78,SHM - Sertifikat Hak Milik,1300
1500.0,"Balikpapan Utara, Balikpapan",4.0,3.0,186,186,SHM - Sertifikat Hak Milik,2200
752.0,"Balikpapan Utara, Balikpapan",2.0,1.0,90,70,SHM - Sertifikat Hak Milik,1300
702.0,"Balikpapan Utara, Balikpapan",3.0,2.0,200,102,SHM - Sertifikat Hak Milik,900
1300.0,"Balikpapan Selatan, Balikpapan",3.0,3.0,84,128,HGB - Hak Guna Bangunan,12700
1200.0,"Balikpapan Selatan, Balikpapan",4.0,2.0,120,144,SHM - Sertifikat Hak Milik,3500
1130.0,"Balikpapan Utara, Balikpapan",3.0,2.0,160,96,SHM - Sertifikat Hak Milik,2200
800.0,"Balikpapan Selatan, Balikpapan",6.0,4.0,100,200,HGB - Hak Guna Bangunan,2200
950.0,"Balikpapan Utara, Balikpapan",6.0,2.0,208,208,SHM - Sertifikat Hak Milik,3500
1790.0,"Balikpapan Utara, Balikpapan",3.0,2.0,173,153,SHM - Sertifikat Hak Milik,2200
485.0,"Balikpapan Barat, Balikpapan",2.0,1.0,120,50,SHM - Sertifikat Hak Milik,2200
4790.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,374,180,"Lainnya (PPJB,Girik,Adat,dll)",2200
995.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,138,80,SHM - Sertifikat Hak Milik,2200
948.0,"Balikpapan Tengah, Balikpapan",2.0,1.0,108,60,SHM - Sertifikat Hak Milik,2200
2500.0,"Damai, Balikpapan",3.0,2.0,238,180,HGB - Hak Guna Bangunan,2200
1500.0,"Balikpapan Utara, Balikpapan",2.0,2.0,108,61,"Lainnya (PPJB,Girik,Adat,dll)",2200
1000.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,90,80,SHM - Sertifikat Hak Milik,1300
2700.0,"Balikpapan Utara, Balikpapan",5.0,5.0,311,500,SHM - Sertifikat Hak Milik,4400
