judul,hyperlink,img_hyperlinks
Balikpapan borneo bay type 1 BR,https://www.rumah123.com//properti/balikpapan/aps3167604/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3167604/original/aps3167604-apartemen-di-jual-di-klandasan-ilir-balikpapan-1705559934.jpg
Balikpapan borneo bay AN type 2 BR,https://www.rumah123.com//properti/balikpapan/aps3167603/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3167603/original/aps3167603-apartemen-di-jual-di-klandasan-ilir-balikpapan-1705559933.jpg
"BALIKPAPAN BORNEO BAY TYPE STUDIO, VIEW CITY, FULLY FURNISHED",https://www.rumah123.com//properti/balikpapan/aps3167347/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3167347/original/aps3167347-apartemen-di-jual-di-klandasan-ilir-balikpapan-1705551781.jpg
"BALIKPAPAN, HUNIAN NYAMAN DI APARTEMEN BORNEO BAY CITY",https://www.rumah123.com//properti/balikpapan/aps3167259/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3167259/original/aps3167259-apartemen-di-jual-di-balikpapan-tengah-balikpapan-1705549349.jpg
"Balikpapan Borneo Bay MP type 3 BR, Leo 073 Smd.",https://www.rumah123.com//properti/balikpapan/aps3150418/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3150418/original/aps3150418-apartemen-di-jual-di-klandasan-ilir-balikpapan-1704330847.jpg
Balikpapan Borneo Bay MP type 3 BR,https://www.rumah123.com//properti/balikpapan/aps3150413/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3150413/original/aps3150413-apartemen-di-jual-di-klandasan-ilir-balikpapan-1704330360.jpg
Balikpapan Borneo Bay KNtype 2 BR,https://www.rumah123.com//properti/balikpapan/aps3150411/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3150411/original/aps3150411-apartemen-di-jual-di-klandasan-ilir-balikpapan-1704330253.jpg
Dijual Apartemen Mewah Tamansari Skylounge Sepinggan Balikpapan ,https://www.rumah123.com//properti/balikpapan/aps3059030/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1706127/2023-10-19-13-12-59-61a93706-b330-47e0-8082-2c423bf6be52.jpg
Dijual Apartemen Mewah Tamansari Skylounge Sepinggan Balikpapan ,https://www.rumah123.com//properti/balikpapan/aps3059017/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1706127/2023-10-19-12-58-41-1c323014-680a-4876-b497-02f0f970cbc2.jpg
Dijual Apartemen Baru Lux Full Furnished 2 Bed View Kolam,https://www.rumah123.com//properti/balikpapan/aps2996736/,https://picture.rumah123.com/r123-images/720x420-crop/customer/553144/2023-08-31-05-33-17-e811ec5a-5b3b-4cef-b187-6aaa03483056.jpg
LUXURY THREE BEDROOM APARTMENT BORNEO BAY MARTADIPURA TOWER BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/aps2782060/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2782060/original/aps2782060-apartemen-di-jual-di-klandasan-ilir-balikpapan-1671071924.jpg
APPARTEMEN BORNEO BAY FULL FURNISH SIAP HUNI,https://www.rumah123.com//properti/balikpapan/aps2748959/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2748959/original/aps2748959-apartemen-di-jual-di-klandasan-ilir-balikpapan-1667460353.jpg
APARTEMEN BORNEO BAY 2 BEDROOM DENGAN VIEW POOL AND SEA,https://www.rumah123.com//properti/balikpapan/aps3165803/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3165803/original/aps3165803-apartemen-di-jual-di-balikpapan-tengah-balikpapan-1705468020.jpg
APARTEMEN BORNEO BAY CITY BALIKPAPAN LOKASI SUPER STRATEGIS,https://www.rumah123.com//properti/balikpapan/aps3165418/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3165418/original/aps3165418-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1705456754.jpg
Balikpapan Borneo Bay Type 1,https://www.rumah123.com//properti/balikpapan/aps3149914/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3149914/original/aps3149914-apartemen-di-jual-di-klandasan-ilir-balikpapan-1704270302.jpg
Balikpapan Borneo bay Type studio,https://www.rumah123.com//properti/balikpapan/aps3149912/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3149912/original/aps3149912-apartemen-di-jual-di-klandasan-ilir-balikpapan-1704270247.jpg
BALIKPAPAN APART BORNEO BAY TYPE STUDIO (LKO 10),https://www.rumah123.com//properti/balikpapan/aps3149560/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1309567/2024-01-03-04-20-07-27a1694f-f5fe-45c1-b570-2d80bb1366a3.jpg
APPARTEMEN BORNEO BAY FULL FURNISH SIAP HUNI TYPE STUDIO.,https://www.rumah123.com//properti/balikpapan/aps3075853/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3075853/original/aps3075853-apartemen-di-jual-di-klandasan-ilir-balikpapan-1698807167.jpg
APPARTEMEN BORNEO BAY  BR 1 FULL FURNISH  SIAP HUNI,https://www.rumah123.com//properti/balikpapan/aps3075851/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3075851/original/aps3075851-apartemen-di-jual-di-klandasan-ilir-balikpapan-1698807129.jpg
LUXURY STUDIO APARTMENT BORNEO BAY BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/aps3046649/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3046649/original/aps3046649-apartemen-di-jual-di-klandasan-ilir-balikpapan-1696984576.jpg
LUXURY ONE BEDROOM BORNEO BAY APARTMENT BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/aps3046648/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3046648/original/aps3046648-apartemen-di-jual-di-klandasan-ilir-balikpapan-1696984494.jpg
appartement full furnish view sea di borneo bay,https://www.rumah123.com//properti/balikpapan/aps3002532/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3002532/original/aps3002532-apartemen-di-jual-di-klandasan-ilir-balikpapan-1693964228.jpg
Apartemen Borneo bay hadap ke taman dan ditengah kota ,https://www.rumah123.com//properti/balikpapan/aps2995326/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1655652/2023-08-30-06-42-39-cdfde2bc-4004-4c82-8ae1-78982ead697a.jpg
APARTEMENT BORNEO BAY TYPE STUDIO FULL FURNISHED,https://www.rumah123.com//properti/balikpapan/aps2995152/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap29/2995152/original/aps2995152-apartemen-di-jual-di-klandasan-ilir-balikpapan-1696314938.jpg
APARTEMENT BORNEO BAY TYPE 2BR FULL FURNISHED,https://www.rumah123.com//properti/balikpapan/aps2995149/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap29/2995149/original/aps2995149-apartemen-di-jual-di-klandasan-ilir-balikpapan-1693376015.jpg
APARTEMENT BORNEO BAY TYPE BR2 FULL FURNISHED,https://www.rumah123.com//properti/balikpapan/aps2995148/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap29/2995148/original/aps2995148-apartemen-di-jual-di-klandasan-ilir-balikpapan-1696314760.jpg
BALIKPAPAN BORNEO BAY MP TYPE 3 BR,https://www.rumah123.com//properti/balikpapan/aps2894961/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap28/2894961/original/aps2894961-apartemen-di-jual-di-klandasan-ilir-balikpapan-1683686039.jpg
LUXURY ONE BEDROOM BORNEO BAY APARTMENT BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/aps2781451/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2781451/original/aps2781451-apartemen-di-jual-di-klandasan-ilir-balikpapan-1671002140.jpg
LUXURY ONE BEDROOM BORNEO BAY APARTMENT BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/aps2753602/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2753602/original/aps2753602-apartemen-di-jual-di-klandasan-ilir-balikpapan-1667976864.jpg
LUXURY TWO BEDROOM BORNEO BAY APARTMENT BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/aps2753601/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2753601/original/aps2753601-apartemen-di-jual-di-klandasan-ilir-balikpapan-1667976845.jpg
LUXURY THREE BEDROOM APARTMENT BORNEO BAY MARTADIPURA TOWER BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/aps2753598/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2753598/original/aps2753598-apartemen-di-jual-di-klandasan-ilir-balikpapan-1667976825.jpg
APARTEMEN STRATEGIS DI KAWASAN PUSAT KOTA SUDIRMAN,https://www.rumah123.com//properti/balikpapan/aps2747561/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap27/2747561/original/aps2747561-apartemen-di-jual-di-klandasan-ilir-balikpapan-1679986976.jpg
APARTEMEN BORNEO BAY CITY BALIKPAPAN LOKASI SUPER STRATEGIS,https://www.rumah123.com//properti/balikpapan/aps3162835/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3162835/original/aps3162835-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1705290885.jpg
BORNEO BAY CITY KARTANEGARA,https://www.rumah123.com//properti/balikpapan/aps3162582/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3162582/original/aps3162582-apartemen-di-jual-di-klandasan-ilir-balikpapan-1705278873.jpg
Balikpapan Borneo Bay,https://www.rumah123.com//properti/balikpapan/aps3162581/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3162581/original/aps3162581-apartemen-di-jual-di-klandasan-ilir-balikpapan-1705278560.jpg
APARTEMEN MURAH BUTUH TER CEPAT,https://www.rumah123.com//properti/balikpapan/aps3162580/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3162580/original/aps3162580-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1705278434.jpg
Apartemen Borneo Bay,https://www.rumah123.com//properti/balikpapan/aps3162579/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3162579/original/aps3162579-apartemen-di-jual-di-klandasan-ilir-balikpapan-1705277676.jpg
BALIKPAPAN BORNEO BAY MP TYPE 3 BR (LKO 13),https://www.rumah123.com//properti/balikpapan/aps3155194/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3155194/original/aps3155194-apartemen-di-jual-di-balikpapan-barat-balikpapan-1704701755.jpg
BALIKPAPAN BORNEO BAY KN TYPE 2 BR (LKO 12),https://www.rumah123.com//properti/balikpapan/aps3155193/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3155193/original/aps3155193-apartemen-di-jual-di-balikpapan-barat-balikpapan-1704701754.jpg
BALIKPAPAN APART. TENGAH KOTA DENGAN FASILITAS TERLENGKAP  BORNEO BAY 1BR (LJ02),https://www.rumah123.com//properti/balikpapan/aps3155182/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3155182/original/aps3155182-apartemen-di-jual-di-klandasan-ilir-balikpapan-1704701609.jpg
BALIKPAPAN APART TENGAH KOTA DENGAN FASILITAS TERLENGKAP BORNEO BAY TYPE STUDIO (LJ 01),https://www.rumah123.com//properti/balikpapan/aps3155183/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3155183/original/aps3155183-apartemen-di-jual-di-klandasan-ilir-balikpapan-1704701609.jpg
BALIKPAPAN APART BORNEO BAY 1 BR (LK0 11),https://www.rumah123.com//properti/balikpapan/aps3155178/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3155178/original/aps3155178-apartemen-di-jual-di-klandasan-ilir-balikpapan-1704701609.jpg
Dijual Apartement Borneo Bay 2 BR View Laut,https://www.rumah123.com//properti/balikpapan/aps3136941/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1928965/2023-12-18-09-30-13-e1a03273-dc7e-49cd-bb7d-03bb637fdd0e.jpg
BALIKPAPAN BORNEO BAY 1 TYPE BR,https://www.rumah123.com//properti/balikpapan/aps3111394/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3111394/original/aps3111394-apartemen-di-jual-di-klandasan-ilir-balikpapan-1701043763.jpg
APARTEMENT BORNEO BAY CITY BALIKPAPAN TYPE STUDIO,https://www.rumah123.com//properti/balikpapan/aps3083277/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3083277/original/aps3083277-apartemen-di-jual-di-balikpapan-tengah-balikpapan-1699260505.jpg
APARTEMEN BORNEO BAY CITY BALIKPAPAN TIPE 1 BR,https://www.rumah123.com//properti/balikpapan/aps3082915/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3082915/original/aps3082915-apartemen-di-jual-di-balikpapan-tengah-balikpapan-1699249550.jpg
APARTEMEN BORNEO BAY CITY BALIKPAPAN TYPE 2 BR,https://www.rumah123.com//properti/balikpapan/aps3082911/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3082911/original/aps3082911-apartemen-di-jual-di-balikpapan-tengah-balikpapan-1699249478.jpg
APARTEMEN BORNEO BAY CITY BALIKPAPAN 3 BR,https://www.rumah123.com//properti/balikpapan/aps3082909/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3082909/original/aps3082909-apartemen-di-jual-di-balikpapan-tengah-balikpapan-1699249432.jpg
APARTEMEN PENTAPOLIS,https://www.rumah123.com//properti/balikpapan/aps3044695/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3044695/original/aps3044695-apartemen-di-jual-di-balikpapan-selatan-balikpapan-1696837840.jpg
APPARTEMEN  BORNEO BAY  BR 2 FULL FURNISH SIAP HUNI,https://www.rumah123.com//properti/balikpapan/aps3036456/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3036456/original/aps3036456-apartemen-di-jual-di-klandasan-ilir-balikpapan-1696236541.jpg
APPARTEMEN BORNEO BAY  BR  1  FULL FURNISH  SIAP HUNI,https://www.rumah123.com//properti/balikpapan/aps3036443/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap30/3036443/original/aps3036443-apartemen-di-jual-di-klandasan-ilir-balikpapan-1696236344.jpg
Apartement RUBY BSB BALIKPAPAN 2 BR Furnished Bagus,https://www.rumah123.com//properti/balikpapan/aps3017185/,https://picture.rumah123.com/r123-images/720x420-crop/customer/71070/2023-09-18-07-52-10-e776a08a-f46b-48d6-b90d-20ecae73b837.jpg
BALIKPAPAN APARTEMEN BORNEO BAY,https://www.rumah123.com//properti/balikpapan/aps2992360/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap29/2992360/original/aps2992360-apartemen-di-jual-di-klandasan-ilir-balikpapan-1693206405.jpg
BALIKPAPAN APARTEMEN BORNEO BAY,https://www.rumah123.com//properti/balikpapan/aps2992352/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap29/2992352/original/aps2992352-apartemen-di-jual-di-klandasan-ilir-balikpapan-1693206266.jpg
