judul,kategori,prices,info,hyperlink,img_hyperlinks
DESIGN KLASIK DALAM KOMPLEK PERUMAHAN ELIT,Rumah,"Rp 1,5 MiliarCicilan : 6 Jutaan per bulan",53LT : 144 m²LB : 207 m²,https://www.rumah123.com//properti/balikpapan/hos15901726/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901726/original/hos15901726-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832803.jpg
ONE GATE SYSTEM,Rumah,"Rp 2,4 MiliarCicilan : 10 Jutaan per bulan",32LT : 311 m²LB : 225 m²,https://www.rumah123.com//properti/balikpapan/hos9151706/,https://picture.rumah123.com/r123/720x420-crop/house/ho91/9151706/original/hos9151706-rumah-di-jual-di-balikpapan-tengah-balikpapan-1703832801.jpg
LAHAN BAGUS STRATEGIS  NOL JALAN RAYA DI  MURAH !!,Rumah,Rp 6 MiliarCicilan : 27 Jutaan per bulan,64LT : 566 m²LB : 566 m²,https://www.rumah123.com//properti/balikpapan/hos15901724/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901724/original/hos15901724-rumah-di-jual-di-balikpapan-tengah-balikpapan-1703832799.jpg
RUMAH SIAP HUNI DI BAWAH HARGA UPRAISAL BANK DI  CEPAT,Rumah,Rp 550 JutaCicilan : 2 Jutaan per bulan,22LT : 228 m²LB : 34 m²,https://www.rumah123.com//properti/balikpapan/hos15901722/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901722/original/hos15901722-rumah-di-jual-di-batakan-balikpapan-1703832796.jpg
Balikpapan Borneo Bay,Apartemen,"Rp 2,2 MiliarCicilan : 9 Jutaan per bulan",32LB : 97 m²,https://www.rumah123.com//properti/balikpapan/aps3146441/,https://picture.rumah123.com/r123/720x420-crop/apartment/ap31/3146441/original/aps3146441-apartemen-di-jual-di-klandasan-ilir-balikpapan-1703832664.jpg
TURUN HARGA 400 JTAN ADA CARPOT JALAN LEBAR TENGAH KOTA,Rumah,Rp 490 JutaCicilan : 2 Jutaan per bulan,21LT : 87 m²LB : 65 m²,https://www.rumah123.com//properti/balikpapan/hos15901679/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901679/original/hos15901679-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832603.jpg
CIPUTRA FULL FURNISH LINGKUNGAN RAMAH ANAK,Rumah,"Rp 1,5 MiliarCicilan : 6 Jutaan per bulan",22LT : 90 m²LB : 74 m²,https://www.rumah123.com//properti/balikpapan/hos15901678/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901678/original/hos15901678-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832598.jpg
RUMAH TIGA KAMAR TIDUR SIAP HUNI SUASANA HOMMY RUMAH MENGHADAP MATAHARI PAGI,Rumah,"Rp 1,8 MiliarCicilan : 8 Jutaan per bulan",32LT : 104 m²LB : 96 m²,https://www.rumah123.com//properti/balikpapan/hos11421090/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11421090/original/hos11421090-rumah-di-jual-di-balikpapan-baru-balikpapan-1703832596.jpg
HUNIAN TENGAH KOTA DESIGN MINIMALIS MODERN FASILITAS MALL DI DALAM LOKASI PERUMAHAN,Rumah,Rp 895 JutaCicilan : 4 Jutaan per bulan,21LT : 98 m²LB : 60 m²,https://www.rumah123.com//properti/balikpapan/hos11417500/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11417500/original/hos11417500-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832595.jpg
TURUN HARGA RUMAH BAGUS LAHAN SANGAT LUAS DI LOKASI STRATEGIS,Rumah,"Rp 2,7 MiliarCicilan : 12 Jutaan per bulan",32LT : 600 m²LB : 140 m²,https://www.rumah123.com//properti/balikpapan/hos11342177/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11342177/original/hos11342177-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832587.jpg
MINIMALIS CANTIK TERAWAT,Rumah,"Rp 2,7 MiliarCicilan : 12 Jutaan per bulan",43LT : 135 m²LB : 200 m²,https://www.rumah123.com//properti/balikpapan/hos9377970/,https://picture.rumah123.com/r123/720x420-crop/house/ho93/9377970/original/hos9377970-rumah-di-jual-di-balikpapan-selatan-balikpapan-1703832585.jpg
RUMAH BESAR DALAM KOMPLEK PERUMAHAN ARAH MENUJU IKN,Rumah,"Rp 1,3 MiliarCicilan : 5 Jutaan per bulan",43LT : 246 m²LB : 200 m²,https://www.rumah123.com//properti/balikpapan/hos15901676/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15901676/original/hos15901676-rumah-di-jual-di-balikpapan-utara-balikpapan-1703832584.jpg
