,judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
33,BALIKPAPAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos12243441/,https://picture.rumah123.com/r123/720x420-crop/house/ho12/12243441/original/hos12243441-rumah-di-jual-di-balikpapan-selatan-balikpapan-1672259951.jpg,BALIKPAPAN REGENCY,Rp 995 Juta,"Balikpapan Selatan, Balikpapan",3,1,180 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
34,PERUM GRIYA PERMATA ASRI,https://www.rumah123.com//properti/balikpapan/hos15023529/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15023529/original/hos15023529-rumah-di-jual-di-balikpapan-selatan-balikpapan-1696574342.jpg,PERUM GRIYA PERMATA ASRI,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,1,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
35,PERUM GRIYA PERMATA ASRI,https://www.rumah123.com//properti/balikpapan/hos10734650/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10734650/original/hos10734650-rumah-di-jual-di-balikpapan-selatan-balikpapan-1659025672.jpg,PERUM GRIYA PERMATA ASRI,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,1,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
36,PERUM GRIYA PERMATA ASRI,https://www.rumah123.com//properti/balikpapan/hos11693695/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11693695/original/hos11693695-rumah-di-jual-di-balikpapan-selatan-balikpapan-1667786196.jpg,PERUM GRIYA PERMATA ASRI,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,1,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
37,Rumah Tengah Kota Di Balikpapan Utara,https://www.rumah123.com//properti/balikpapan/hos14872216/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14872216/original/hos14872216-rumah-di-jual-di-balikpapan-utara-balikpapan-1700025104.jpg,Rumah Tengah Kota Di Balikpapan Utara,"Rp 2,5 Miliar","Balikpapan Utara, Balikpapan",6,5,311 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
38,Rumah Tengah Kota Di Balikpapan Utara,https://www.rumah123.com//properti/balikpapan/hos15479436/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15479436/original/hos15479436-rumah-di-jual-di-balikpapan-utara-balikpapan-1700025103.jpg,Rumah Tengah Kota Di Balikpapan Utara,"Rp 2,5 Miliar","Balikpapan Utara, Balikpapan",6,5,311 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
39,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,https://www.rumah123.com//properti/balikpapan/hos14872178/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14872178/original/hos14872178-rumah-di-jual-di-balikpapan-tengah-balikpapan-1700025105.jpg,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,"Rp 1,1 Miliar","Balikpapan Tengah, Balikpapan",4,3,204 m²,204 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
40,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,https://www.rumah123.com//properti/balikpapan/hos14872178/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14872178/original/hos14872178-rumah-di-jual-di-balikpapan-tengah-balikpapan-1700025105.jpg,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,Rp 1 Miliar,"Balikpapan Tengah, Balikpapan",4,3,204 m²,204 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
41,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,https://www.rumah123.com//properti/balikpapan/hos15479437/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15479437/original/hos15479437-rumah-di-jual-di-balikpapan-tengah-balikpapan-1700025104.jpg,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,"Rp 1,1 Miliar","Balikpapan Tengah, Balikpapan",4,3,204 m²,204 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
42,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,https://www.rumah123.com//properti/balikpapan/hos15479437/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15479437/original/hos15479437-rumah-di-jual-di-balikpapan-tengah-balikpapan-1700025104.jpg,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,Rp 1 Miliar,"Balikpapan Tengah, Balikpapan",4,3,204 m²,204 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
43,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,https://www.rumah123.com//properti/balikpapan/hos15924751/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15924751/original/hos15924751-rumah-di-jual-di-balikpapan-tengah-balikpapan-1704154755.jpg,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,"Rp 1,1 Miliar","Balikpapan Tengah, Balikpapan",4,3,204 m²,204 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
44,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,https://www.rumah123.com//properti/balikpapan/hos15924751/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15924751/original/hos15924751-rumah-di-jual-di-balikpapan-tengah-balikpapan-1704154755.jpg,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,Rp 1 Miliar,"Balikpapan Tengah, Balikpapan",4,3,204 m²,204 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
45,BALIKPAPAN PERUMAHAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos14863499/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14863499/original/hos14863499-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695342000.jpg,BALIKPAPAN PERUMAHAN REGENCY,"Rp 1,75 Miliar","Balikpapan Selatan, Balikpapan",3,2,152 m²,115 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
46,BALIKPAPAN PERUMAHAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos14863499/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14863499/original/hos14863499-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695342000.jpg,BALIKPAPAN PERUMAHAN REGENCY,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",2,1,150 m²,45 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
47,BALIKPAPAN PERUMAHAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos14921618/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14921618/original/hos14921618-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695773150.jpg,BALIKPAPAN PERUMAHAN REGENCY,"Rp 1,75 Miliar","Balikpapan Selatan, Balikpapan",3,2,152 m²,115 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
48,BALIKPAPAN PERUMAHAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos14921618/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14921618/original/hos14921618-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695773150.jpg,BALIKPAPAN PERUMAHAN REGENCY,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",2,1,150 m²,45 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
49,BALIKPAPAN PERUMAHAN REGENCY,https://www.rumah123.com//properti/balikpapan/hos14686956/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14686956/original/hos14686956-rumah-di-jual-di-balikpapan-selatan-balikpapan-1693890696.jpg,BALIKPAPAN PERUMAHAN REGENCY,"Rp 1,75 Miliar","Balikpapan Selatan, Balikpapan",3,2,152 m²,115 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
