Unnamed: 0,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1198,Rumah Minimalis 2 Lantai Siap Huni di Balikpapan Baru,"Rp 1,8 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11457544/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1730302/2022-10-17-06-26-56-78f13493-5d6e-4bfe-9dc9-0f5519d876be.webp,3.0,2.0,162 m²,110 m²,1.0,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",,,1.0,Ya,Ya,,2.0,,Tidak,,,Tidak,Bagus,Dijual
1199,RUMAH LUAS HOMY COZY ASRI TAMAN LUAS,"Rp 3,9 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11375425/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11375425/original/hos11375425-rumah-di-jual-di-balikpapan-utara-balikpapan-1665361478.jpg,5.0,6.0,770 m²,350 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,,,,,,,,,,,Dijual
1200,RUMAH BERSIH LUAS ASRI DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 2,6 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11375412/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11375412/original/hos11375412-rumah-di-jual-di-balikpapan-utara-balikpapan-1665361314.jpg,3.0,2.0,311 m²,225 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1.0,,,,,,,,,,,,Dijual
1201,"DI JUAL RUMAH 3 LANTAI DI TELAGA SARI, BALIKPAPAN","Rp 1,09 Miliar","Balikpapan Kota, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11310076/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11310076/original/hos11310076-rumah-di-jual-di-telaga-sari-balikpapan-1664840293.jpg,6.0,4.0,150 m²,174 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,1.0,Tidak,Tidak,,3.0,Pemukiman Warga,Tidak,,,Tidak,Bagus,Dijual
1202,DI JUAL RUMAH LUAS TANAH 650 M² DI KARIANGAU BALIKPAPAN,"Rp 1,9 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11310073/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11310073/original/hos11310073-rumah-di-jual-di-kariangau-balikpapan-1664840220.jpg,3.0,2.0,650 m²,276 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,1.0,Tidak,Tidak,,1.0,Pemukiman Warga,Tidak,,,Tidak,,Dijual
1203,RUMAH DI DAUN VILLAGE,"Rp 1,25 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11300863/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11300863/original/hos11300863-rumah-di-jual-di-balikpapan-selatan-balikpapan-1664771049.jpg,3.0,1.0,136 m²,85 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1204,Rumah Ellite Minimalis di Tengah Kota dan baru dibangun ,Rp 950 Juta,"Sumber Rejo, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11298492/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11298492/original/hos11298492-rumah-di-jual-di-sumber-rejo-balikpapan-1664760244.jpg,2.0,2.0,72 m²,66 m²,1.0,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,,PAM atau PDAM,Tidak,Baru,Dijual
1205,Rumah Minimalis mewah terasa di Appartemen Full Furnish,Rp 800 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11298485/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11298485/original/hos11298485-rumah-di-jual-di-balikpapan-selatan-balikpapan-1664760170.jpg,2.0,1.0,90 m²,60 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,Bagus,Dijual
1206,RUMAH LUAS UNIK GAYA BALI DENGAN KOLAM RENANG DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 4,3 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11230357/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11230357/original/hos11230357-rumah-di-jual-di-balikpapan-utara-balikpapan-1664169572.jpg,3.0,3.0,610 m²,400 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,2.0,,,,,,,,,,,,Dijual
1207,Rumah Plus Ruko Dekat Masjid dan dipinggir jalan besar ,"Rp 1,5 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11153741/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11153741/original/hos11153741-rumah-di-jual-di-balikpapan-tengah-balikpapan-1663556909.jpg,3.0,1.0,200 m²,96 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,PAM atau PDAM,Tidak,Bagus,Dijual
1208,RUMAH MINIMALIS DEKAT DOME BALIKPAPAN.  ,"Rp 1,75 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos11032660/,https://picture.rumah123.com/r123/720x420-crop/house/ho11/11032660/original/hos11032660-rumah-di-jual-di-balikpapan-selatan-balikpapan-1662338113.jpg,2.0,2.0,175 m²,36 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1.0,,Tidak,Tidak,,,,Tidak,,,Tidak,Bagus,Dijual
1209,Rumah Strategis Bebas Banjir Balikpapan Regency Dekat Polda Harga Terjangkau,Rp 385 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10971884/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10971884/original/hos10971884-rumah-di-jual-di-balikpapan-selatan-balikpapan-1661733570.jpg,2.0,1.0,72 m²,36 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1210,RUMAH PLUS GUDANG DIPINGGIR JALAN BESAR DAN DEKAT PELABUHAN FERRY,"Rp 1,9 Miliar","Kariangau, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10915306/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10915306/original/hos10915306-rumah-di-jual-di-kariangau-balikpapan-1661136174.jpg,3.0,2.0,900 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,Unfurnished,,,,,,,Bagus,Dijual
1211,RUMAH MINIMALIS DI WIKA BALIKPAPAN,Rp 790 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos10915303/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10915303/original/hos10915303-rumah-di-jual-di-balikpapan-utara-balikpapan-1661136118.jpg,2.0,1.0,96 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
