,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
1077,"Rumah perumahan Ramayana kilo KM 3,5 balikpapan utara",Rp 950 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15371052/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15371052/original/hos15371052-rumah-di-jual-di-balikpapan-utara-balikpapan-1699256030.jpg,4,2,210 m²,150 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
1078,Rumah baru perumahan pesona katulistiwa suangai ampal balikpapan,Rp 673 Juta,"Sumber Rejo, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15371050/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15371050/original/hos15371050-rumah-di-jual-di-sumber-rejo-balikpapan-1699256029.jpg,3,1,78 m²,42 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1079,BALIKPAPAN PERUMAHAN RESIDENCE KARTINI BALIKPAPAN DUA,"Rp 1,2 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15369411/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15369411/original/hos15369411-rumah-di-jual-di-balikpapan-selatan-balikpapan-1699249341.jpg,2,1,120 m²,90 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
1080,RUMAH DUA KAMAR TIDUR SIAP HUNI DALAM PERUMAHAN TENGAH KOTA BALIKPAPAN,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15293783/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15293783/original/hos15293783-rumah-di-jual-di-balikpapan-selatan-balikpapan-1698655216.jpg,2,1,91 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
1081,RUMAH TIGA KAMAR TIDUR SIAP HUNI DALAM PERUMAHAN TENGAH KOTA BALIKPAPAN,"Rp 1,25 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15293469/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15293469/original/hos15293469-rumah-di-jual-di-balikpapan-utara-balikpapan-1698654298.jpg,3,2,210 m²,98 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,,,,,,,,,,,Dijual
1082,RUMAH MODERN MEWAH EXCLUSIVE DI TENGAH KOTA BALIKPAPAN,"Rp 2,8 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15207014/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15207014/original/hos15207014-rumah-di-jual-di-balikpapan-selatan-balikpapan-1698020296.jpg,3,3,126 m²,92 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1083,RUMAH  DI SEPINGGAN PRATAMA,"Rp 1,1 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15207008/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15207008/original/hos15207008-rumah-di-jual-di-balikpapan-selatan-balikpapan-1698020118.jpg,3,3,120 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1084,di  Rumah Nyaman Kawasan Elite Citra Bukit Indah Ciputra BDI,Rp 975 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15130985/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15130985/original/hos15130985-rumah-di-jual-di-balikpapan-selatan-balikpapan-1697418278.jpg,2,1,90 m²,55 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1085,RUMAH TUMBUH BARU DUA LANTAI TIGA KAMAR TIDUR DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 2,1 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15130845/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15130845/original/hos15130845-rumah-di-jual-di-balikpapan-utara-balikpapan-1697416471.jpg,3,3,140 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
1086,RUMAH MINIMALIS SIAP HUNI,"Rp 1,3 Miliar","Balikpapan Baru, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15053082/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15053082/original/hos15053082-rumah-di-jual-di-balikpapan-baru-balikpapan-1696837743.jpg,2,1,130 m²,81 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
