,judul,hyperlink,img_hyperlinks,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
30,BALIKPAPAN RUMAH TENGAH KOTA,https://www.rumah123.com//properti/balikpapan/hos16149999/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16149999/original/hos16149999-rumah-di-jual-di-gn.-sari-ilir-balikpapan-1706075192.jpg,BALIKPAPAN RUMAH TENGAH KOTA,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,49 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
31,BALIKPAPAN RUMAH TENGAH KOTA,https://www.rumah123.com//properti/balikpapan/hos14498835/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498835/original/hos14498835-rumah-di-jual-di-balikpapan-tengah-balikpapan-1692149263.jpg,BALIKPAPAN RUMAH TENGAH KOTA,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,49 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
32,BALIKPAPAN RUMAH TENGAH KOTA,https://www.rumah123.com//properti/balikpapan/hos14498791/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498791/original/hos14498791-rumah-di-jual-di-balikpapan-tengah-balikpapan-1692347077.jpg,BALIKPAPAN RUMAH TENGAH KOTA,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,49 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
33,BALIKPAPAN RUMAH TENGAH KOTA,https://www.rumah123.com//properti/balikpapan/hos16108603/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16108603/original/hos16108603-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705709085.jpg,BALIKPAPAN RUMAH TENGAH KOTA,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,49 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
34,BALIKPAPAN PERUM PONDOK KARYA AGUNG (POKA),https://www.rumah123.com//properti/balikpapan/hos14498849/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498849/original/hos14498849-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692346996.jpg,BALIKPAPAN PERUM PONDOK KARYA AGUNG (POKA),Rp 950 Juta,"Balikpapan Selatan, Balikpapan",4,3,180 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
35,BALIKPAPAN PERUM PONDOK KARYA AGUNG (POKA),https://www.rumah123.com//properti/balikpapan/hos14663868/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14663868/original/hos14663868-rumah-di-jual-di-balikpapan-selatan-balikpapan-1693631839.jpg,BALIKPAPAN PERUM PONDOK KARYA AGUNG (POKA),Rp 950 Juta,"Balikpapan Selatan, Balikpapan",4,3,180 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
36,Rumah Asri Balikpapan Strategis Dekat Polda dan Bandara 005PKR,https://www.rumah123.com//properti/balikpapan/hos14898146/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14898146/original/hos14898146-rumah-di-jual-di-balikpapan-selatan-balikpapan-1695601732.jpg,Rumah Asri Balikpapan Strategis Dekat Polda dan Bandara 005PKR,Rp 500 Juta,"Balikpapan Selatan, Balikpapan",2,1,84 m²,42 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,Unfurnished,1,,Tidak,,Sumur Galian,Tidak,Baru,Dijual
37,Rumah Asri Balikpapan Strategis Dekat Polda dan Bandara 005PKR,https://www.rumah123.com//properti/balikpapan/hos14889231/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1430095/2023-09-23-07-19-10-84772e1a-d16c-424a-b2e3-36fc25036da0.jpg,Rumah Asri Balikpapan Strategis Dekat Polda dan Bandara 005PKR,Rp 500 Juta,"Balikpapan Selatan, Balikpapan",2,1,84 m²,42 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,Tidak,Tidak,Unfurnished,1,,Tidak,,Sumur Galian,Tidak,Baru,Dijual
38,RUMAH MURAH DI TENGAH KOTA BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos14533497/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14533497/original/hos14533497-rumah-di-jual-di-gunung-bahagia-balikpapan-1692584241.jpg,RUMAH MURAH DI TENGAH KOTA BALIKPAPAN,Rp 480 Juta,"Gunung Bahagia, Balikpapan",2,1,72 m²,48 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
39,RUMAH MURAH DI TENGAH KOTA BALIKPAPAN,https://www.rumah123.com//properti/balikpapan/hos10393621/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10393621/original/hos10393621-rumah-di-jual-di-gunung-bahagia-balikpapan-1654816108.jpg,RUMAH MURAH DI TENGAH KOTA BALIKPAPAN,Rp 480 Juta,"Gunung Bahagia, Balikpapan",2,1,72 m²,48 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
40,"BALIKPAPAN,  SEPINGGAN PRATAMA (Y159)",https://www.rumah123.com//properti/balikpapan/hos10101253/,https://picture.rumah123.com/r123/720x420-crop/house/ho10/10101253/original/hos10101253-rumah-di-jual-di-sepinggan-balikpapan-1650328791.jpg,"BALIKPAPAN,  SEPINGGAN PRATAMA (Y159)","Rp 7,2 Miliar","Sepinggan, Balikpapan",5,4,320 m²,700 m²,,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,,,,,,,,,,,,,Dijual
