,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
144,Hunian Cantik dan terawat. Dikota balikpapan,Rp 670 Juta,"Balikpapan Selatan, Balikpapan",3,1,142 m²,120 m²,2,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
145,Rumah Tengah Kota Di Balikpapan Utara,"Rp 2,5 Miliar","Balikpapan Utara, Balikpapan",6,5,311 m²,500 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
146,Rumah Siap Huni Full Furniture Di Balikpapan Tengah,"Rp 1,1 Miliar","Balikpapan Tengah, Balikpapan",4,3,204 m²,204 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
147,RUMAH BESAR DI PERUMAHAN WIKA,"Rp 2,8 Miliar","Balikpapan Utara, Balikpapan",4,3,311 m²,225 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
148,BALIKPAPAN PERUMAHAN REGENCY,Rp 800 Juta,"Balikpapan Selatan, Balikpapan",4,2,84 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
149,Rumah dihook  di perumahan wisata manggar,Rp 750 Juta,"Manggar, Balikpapan",3,2,130 m²,130 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Semi Furnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
150,BALIKPAPAN PERUMAHAN BUKIT AMSCO,"Rp 1,3 Miliar","Balikpapan Selatan, Balikpapan",3,2,180 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
151,Perfect gate away wooden villa pantai Lamaru,"Rp 1,5 Miliar","Balikpapan Timur, Balikpapan",2,2,238 m²,70 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
152,"BALIKPAPAN RUMAH 1 LANTAI DI PERUMAHAN ADIGUNA KM 5,5 KARIANGAU (LM307)",Rp 485 Juta,"Balikpapan Utara, Balikpapan",3,2,120 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
153,"307 Balikpapan Perumahan Adiguna Rumah 1 Lantai Km 5,5 Kariangau ",Rp 485 Juta,"Balikpapan Utara, Balikpapan",3,2,120 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
154,BALIKPAPAN RUMAH CANTIK SIAP HUNI DI KP TIMUR (LM303),Rp 500 Juta,"Balikpapan Utara, Balikpapan",2,1,90 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
