,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
564,"BALIKPAPAN, RUMAH PINGGIR JALAN TOL",Rp 18 Miliar,"Manggar, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16230077/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16230077/original/hos16230077-rumah-di-jual-di-manggar-balikpapan-1706682119.jpg,6,3,4580 m²,600 m²,,Rumah,SHM - Sertifikat Hak Milik,6600 Watt,,,,,,,,,,,,,Dijual
565,Rumah Bagus Siap Huni di Kartini Residence Balikpapan,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16156083/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1928965/2024-01-24-09-58-16-6d923c3d-3ad7-4b0f-8db8-8e3d534d53cb.jpg,3,2,180 m²,150 m²,1,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Bagus,Dijual
566,Hunian modern dekat rumah sakit umum Kanujoso,"Rp 1,01 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16150027/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16150027/original/hos16150027-rumah-di-jual-di-balikpapan-utara-balikpapan-1706075373.jpg,4,2,120 m²,72 m²,2,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,Ya,Ya,,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
567,BALIKPAPAN RUMAH TENGAH KOTA,"Rp 1,85 Miliar","Gn. Sari Ilir, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16149999/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16149999/original/hos16149999-rumah-di-jual-di-gn.-sari-ilir-balikpapan-1706075192.jpg,4,2,135 m²,260 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
568,RUMAH BAGUS 3 LANTAI DI GUNUNG SARI BALIKPAPAN,Rp 2 Miliar,"Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16148078/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16148078/original/hos16148078-rumah-di-jual-di-balikpapan-tengah-balikpapan-1706067780.jpg,3,3,151 m²,124 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
569,Dijual Rumah Konplek Anugrah Residence Balikpapan,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16084875/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1727362/2024-01-17-18-31-32-a875cb29-9f74-46ad-8607-d4fc2a12a17b.jpg,4,2,104 m²,100 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Tidak,Tidak,Unfurnished,1,,Tidak,,Sumur Pompa,Tidak,Baru,Dijual
570,Rumah Mewah Balikpapan,"Rp 7,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos13783833/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1746082/2023-09-18-05-13-20-b4ed2ac0-70b1-4f68-8e52-4b21e13d8da6.jpg,5,3,450 m²,800 m²,2,Rumah,SHM - Sertifikat Hak Milik,5500 Watt,1,1,Ya,Ya,Unfurnished,4,Perkotaan,Ya,4 Mobil,PAM atau PDAM,Ya,Sudah Renovasi,Dijual
571,"BALIKPAPAN, RUMAH BESAR DAN NYAMAN DI PUPUK","Rp 3,55 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16079005/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16079005/original/hos16079005-rumah-di-jual-di-balikpapan-selatan-balikpapan-1705474939.jpg,6,4,300 m²,290 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
572,"Rumah di Bukit Mutiara Indah Cendana 2 Wika Balikpapan 2 Lantai, bagus","Rp 1,75 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16077708/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1940112/2024-01-17-05-48-32-49c1fd09-7960-4ceb-84ba-511bfa457250.jpg,3,1,144 m²,84 m²,2,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,1,Ya,Ya,,2,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
573,"BALIKPAPAN, RUMAH MURAH DI TAMAN SARI BUKIT MUTIARA",Rp 920 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos16077393/,https://picture.rumah123.com/r123/720x420-crop/house/ho16/16077393/original/hos16077393-rumah-di-jual-di-balikpapan-utara-balikpapan-1705468753.jpg,2,1,150 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
