,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
808,RUMAH TENGAH KOTA SIAP HUNI DEKAT BANDARA,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15464845/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15464845/original/hos15464845-rumah-di-jual-di-balikpapan-selatan-balikpapan-1699948266.jpg,2,1,160 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
809,RUMAH SIAP HUNI TENGAH KOTA AKSES MUDAH DEKAT BANDARA,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15464828/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15464828/original/hos15464828-rumah-di-jual-di-balikpapan-selatan-balikpapan-1699948206.jpg,2,1,160 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
810,RUMAH MURAH TENGAH KOTA - BALIKPAPAN SELATAN,Rp 750 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15458102/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15458102/original/hos15458102-rumah-di-jual-di-balikpapan-selatan-balikpapan-1699920670.jpg,4,3,120 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
811,RUMAH 2 LANTAI SIAP HUNI DI KOTA HIJAU,"Rp 1,5 Miliar","Balikpapan Timur, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15383010/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15383010/original/hos15383010-rumah-di-jual-di-balikpapan-timur-balikpapan-1699340890.jpg,4,2,120 m²,42 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,1,,,,,,,,,,,,Dijual
812,RUMAH MINIMALIS SIAP HUNI BEBAS BANJIR  DI SUNGAI AMPAL,"Rp 1,05 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15380517/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15380517/original/hos15380517-rumah-di-jual-di-balikpapan-tengah-balikpapan-1699336909.jpg,4,2,240 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
813,HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA BISA KPR,Rp 680 Juta,"Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15380067/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15380067/original/hos15380067-rumah-di-jual-di-balikpapan-tengah-balikpapan-1699334654.jpg,2,1,78 m²,42 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
814,HUNIAN DENGAN KONSEP PERUMAHAN  DESAIN MINIMALIS LOKASI TENGAH KOTA,Rp 935 Juta,"Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15380057/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15380057/original/hos15380057-rumah-di-jual-di-balikpapan-tengah-balikpapan-1699334588.jpg,2,1,120 m²,50 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
815,Hunian bernuansa biru dekat Rekreasi pantai batakan,Rp 810 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15376345/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15376345/original/hos15376345-rumah-di-jual-di-balikpapan-selatan-balikpapan-1699315608.jpg,3,2,132 m²,132 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Ya,Ya,Unfurnished,,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
816,SMART HOME SYSTEM GRAND CITY BALIKPAPAN DP HANYA 10 JT,Rp 869 Juta,"Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15309603/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15309603/original/hos15309603-rumah-di-jual-di-balikpapan-utara-balikpapan-1698741328.jpg,2,2,60 m²,47 m²,,Rumah,"Lainnya (PPJB,Girik,Adat,dll)",2200 Watt,,,,,,,,,,,,,Dijual
817,RUMAH HOOK LUAS TIGA KAMAR TIDUR DALAM PERUMAHAN ELITE BALIKPAPAN,"Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15300768/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15300768/original/hos15300768-rumah-di-jual-di-balikpapan-selatan-balikpapan-1698722986.jpg,3,2,305 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
818,Rumah Strategis Tanah Luas Bisa Costum Desain,"Rp 1,16 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15299616/,https://picture.rumah123.com/r123-images/720x420-crop/customer/1355633/2023-10-31-01-50-29-23592e29-fde0-471d-bb8b-afea2c4ca196.png,3,2,168 m²,100 m²,1,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,1,Ya,Ya,Unfurnished,1,Pemukiman Warga,Ya,,Sumur Bor,Tidak,,Dijual
819,HUNIAN DENGAN SMART HOME SYSTEM DESAIN MINIMALIS LOKASI AMAN NYAMAN DAN MODERN,"Rp 1,75 Miliar","Balikpapan Utara, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15299598/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15299598/original/hos15299598-rumah-di-jual-di-balikpapan-utara-balikpapan-1698718037.jpg,3,3,98 m²,88 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
820,Rumah Cantik dan bersih Di Balikpapan Regency,"Rp 1,95 Miliar","Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos15298805/,https://picture.rumah123.com/r123/720x420-crop/house/ho15/15298805/original/hos15298805-rumah-di-jual-di-balikpapan-selatan-balikpapan-1698712430.jpg,3,3,150 m²,115 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,Tidak,Tidak,Unfurnished,2,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
