,Unnamed: 0,Judul,Harga,Lokasi,Hyperlink,Img_Hyperlink,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
167,668,BALIKPAPAN RUMAH MEWAH KOMPLEKS PERUMAHAN BDI,"Rp 3,2 Miliar","Damai, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498843/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498843/original/hos14498843-rumah-di-jual-di-damai-balikpapan-1692149270.jpg,5.0,5.0,280 m²,226 m²,,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,1.0,,,,,,,,,,,,Dijual
168,669,BALIKPAPAN PERUM PGRI,Rp 600 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498842/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498842/original/hos14498842-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692149268.jpg,2.0,1.0,118 m²,50 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
169,670,BALIKPAPAN PERUM REGENCY RECIDENT,Rp 675 Juta,"Balikpapan Selatan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498839/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498839/original/hos14498839-rumah-di-jual-di-balikpapan-selatan-balikpapan-1692347002.jpg,3.0,2.0,72 m²,120 m²,,Rumah,HGB - Hak Guna Bangunan,1300 Watt,,,,,,,,,,,,,Dijual
170,671,BALIKPAPAN PERUM BUKIT DAMAI INDAH,"Rp 1,5 Miliar","Damai, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498840/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498840/original/hos14498840-rumah-di-jual-di-damai-balikpapan-1692346993.jpg,2.0,2.0,180 m²,140 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
171,672,BALIKPAPAN PERUM REGENCY,Rp 400 Juta,"Sepinggan, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498836/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498836/original/hos14498836-rumah-di-jual-di-sepinggan-balikpapan-1692149263.jpg,2.0,1.0,72 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
172,673,BALIKPAPAN RUMAH TENGAH KOTA,"Rp 1,2 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498835/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498835/original/hos14498835-rumah-di-jual-di-balikpapan-tengah-balikpapan-1692149263.jpg,6.0,2.0,181 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
173,674,BALIKPAPAN KARANG JATI,Rp 2 Miliar,"Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498831/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498831/original/hos14498831-rumah-di-jual-di-balikpapan-tengah-balikpapan-1692347082.jpg,4.0,3.0,288 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
174,675,BALIKPAPAN RUMAH JL. INPRES 3,Rp 750 Juta,"Gn. Samarinda, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498794/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498794/original/hos14498794-rumah-di-jual-di-gn.-samarinda-balikpapan-1692347080.jpg,3.0,1.0,150 m²,80 m²,,Rumah,SHM - Sertifikat Hak Milik,900 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
175,676,BALIKPAPAN  RUMAH GUNUNG PASIR,"Rp 7,5 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498793/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498793/original/hos14498793-rumah-di-jual-di-balikpapan-tengah-balikpapan-1692347079.jpg,2.0,1.0,545 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
176,677,BALIKPAPAN RUMAH TENGAH KOTA,"Rp 3,6 Miliar","Balikpapan Tengah, Balikpapan",https://www.rumah123.com//properti/balikpapan/hos14498791/,https://picture.rumah123.com/r123/720x420-crop/house/ho14/14498791/original/hos14498791-rumah-di-jual-di-balikpapan-tengah-balikpapan-1692347077.jpg,4.0,2.0,150 m²,300 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
