Unnamed: 0,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik
539,DESIGN MINIMALIS DEKAT ISLAMIC CENTER,950.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,128,75,SHM - Sertifikat Hak Milik,2200 Watt
540,RUMAH BALIKPAPAN SIAP HUNI CIPUTRA PUSAT KOTA FURNISH,1700.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,150,135,SHM - Sertifikat Hak Milik,3500 Watt
541,RUMAH TIGA KAMAR DALAM CLUSTER WIKA,1300.0,"Balikpapan Utara, Balikpapan",3.0,2.0,150,90,SHM - Sertifikat Hak Milik,2200 Watt
542,RUMAH 3 BANGUNAN TERPISAH BERKONSEP COTTAGE,4200.0,"Batu Ampar, Balikpapan",5.0,6.0,770,350,SHM - Sertifikat Hak Milik,3500 Watt
543, DI JUAL RUMAH SHM DI PERUMAHAN ELIT CITRA CITY,5500.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,500,250,SHM - Sertifikat Hak Milik,5500 Watt
544,HUNIAN DAN TANAH KEBUN LUAS PINGGIR JALAN PROPINSI BEBAS BANJIR,3000.0,"Balikpapan Timur, Balikpapan",4.0,2.0,2280,225,SHM - Sertifikat Hak Milik,1300 Watt
545,RUMAH 2 LANTI MEWAH DAN ISTIMEWA,3900.0,"Balikpapan Selatan, Balikpapan",4.0,4.0,300,330,SHM - Sertifikat Hak Milik,13200 Watt
546,RUMAH HITUNG TANAH,700.0,"Balikpapan Barat, Balikpapan",3.0,1.0,208,70,SHM - Sertifikat Hak Milik,1300 Watt
547,"RUMAH DALAM KOTA,PERUM KORPRI",3100.0,"Balikpapan Selatan, Balikpapan",5.0,1.0,600,350,SHM - Sertifikat Hak Milik,2200 Watt
548,HOOK BESAR DALAM PERUMAHAN ELIT,3800.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,322,230,SHM - Sertifikat Hak Milik,3500 Watt
549,RUMAH CLASSIC BALIKPAPAN DAN KOS TERAWAT DEKAT SMK AIRLANGGA DAN KAMPUS STIEPAN,2490.0,"Balikpapan Tengah, Balikpapan",4.0,2.0,540,207,SHM - Sertifikat Hak Milik,3500 Watt
550,RUMAH TIGA KAMAR TIDUR DALAM PERUMAHAN ELITE BALIKPAPAN,1330.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,120,120,SHM - Sertifikat Hak Milik,3500 Watt
551,MILONO,3200.0,"Klandasan Ulu, Balikpapan",12.0,13.0,400,400,SHM - Sertifikat Hak Milik,3500 Watt
552,TURUN HARGA RUMAH MEWAH DEPAN BSBS,7750.0,"Balikpapan Selatan, Balikpapan",6.0,5.0,380,500,SHM - Sertifikat Hak Milik,3500 Watt
553,KANTOR/ MESS/ RUMAH TINGGAL STRATEGIS JUAL CEPAT,4500.0,"Balikpapan Utara, Balikpapan",7.0,4.0,550,550,SHM - Sertifikat Hak Milik,3500 Watt
554,"TURUN HARGA RUMAH BARU, CITRA INDAH",4600.0,"Balikpapan Selatan, Balikpapan",5.0,4.0,425,300,SHM - Sertifikat Hak Milik,3500 Watt
555,TURUN HARGA RUMAH BARU,4500.0,"Balikpapan Selatan, Balikpapan",5.0,5.0,250,300,SHM - Sertifikat Hak Milik,2200 Watt
556,TURUN HARGA RUMAH MEWAH TENGAH KOTA pusat kota perum ELITE,12000.0,"Balikpapan Selatan, Balikpapan",5.0,4.0,700,550,SHM - Sertifikat Hak Milik,5500 Watt
557,RUMAH MEWAH ELEGAN DI PINGGIR JALAN BESAR KOTA BALIKPAPAN,4200.0,"Balikpapan Utara, Balikpapan",5.0,4.0,540,300,SHM - Sertifikat Hak Milik,3500 Watt
558,"BALIKPAPAN,  PONDOK KARYA AGUNG BESAR (Y140)",2200.0,"Sepinggan, Balikpapan",5.0,2.0,403,200,SHM - Sertifikat Hak Milik,2200 Watt
559,Rumah Mewah Harga Murah 250 Meter Jalan Poros,1060.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,168,90,HGB - Hak Guna Bangunan,1300 Watt
560,Rumah Asri View Lapangan Golf,2640.0,"Balikpapan Selatan, Balikpapan",4.0,4.0,130,200,SHM - Sertifikat Hak Milik,2200 Watt
561,TURUN HARGA!  CEPAT RUMAH CANTIK SIAP HUNI 2 LANTAI TAMANSARI BUKIT MUTIARA (WIKA) BALIKPAPAN KAL-TIM,3500.0,"Balikpapan Utara, Balikpapan",4.0,5.0,319,490,SHM - Sertifikat Hak Milik,2200 Watt
562,BALIKPAPAN RUMAH PINGGIR JALAN,700.0,"Balikpapan Tengah, Balikpapan",3.0,2.0,144,120,SHM - Sertifikat Hak Milik,1300 Watt
563,BALIKPAPAN PERUMAHAN BALIKPAPAN BARU,3600.0,"Balikpapan Baru, Balikpapan",4.0,3.0,180,250,SHM - Sertifikat Hak Milik,2200 Watt
564,"BALIKPAPAN, RUMAH PINGGIR JALAN TOL",18000.0,"Manggar, Balikpapan",6.0,3.0,4580,600,SHM - Sertifikat Hak Milik,6600 Watt
565,Rumah Bagus Siap Huni di Kartini Residence Balikpapan,1500.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,180,150,SHM - Sertifikat Hak Milik,1300 Watt
566,Hunian modern dekat rumah sakit umum Kanujoso,1010.0,"Balikpapan Utara, Balikpapan",4.0,2.0,120,72,HGB - Hak Guna Bangunan,2200 Watt
567,BALIKPAPAN RUMAH TENGAH KOTA,1850.0,"Gn. Sari Ilir, Balikpapan",4.0,2.0,135,260,SHM - Sertifikat Hak Milik,2200 Watt
568,RUMAH BAGUS 3 LANTAI DI GUNUNG SARI BALIKPAPAN,2000.0,"Balikpapan Tengah, Balikpapan",3.0,3.0,151,124,SHM - Sertifikat Hak Milik,2200 Watt
569,Dijual Rumah Konplek Anugrah Residence Balikpapan,900.0,"Balikpapan Selatan, Balikpapan",4.0,2.0,104,100,HGB - Hak Guna Bangunan,1300 Watt
570,Rumah Mewah Balikpapan,7500.0,"Balikpapan Selatan, Balikpapan",5.0,3.0,450,800,SHM - Sertifikat Hak Milik,5500 Watt
